ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
TAVHL,2025-06-24,5,up,243.3772,229.5893,270.953,270.953,target,11.33
TAVHL,2025-07-03,5,up,261.5063,246.7777,290.9635,252.8142,timeout,-3.324
TAVHL,2025-07-04,5,up,258.7745,244.6988,286.9258,252.3176,timeout,-2.495
TCELL,2024-06-03,5,strong_up,96.0259,91.0106,106.0567,91.0106,stop,-5.223
TCELL,2024-06-11,5,strong_up,89.127,83.5919,100.1971,100.1971,target,12.421
TCELL,2024-07-08,5,strong_up,101.6197,96.3646,112.1299,98.2634,timeout,-3.303
TCELL,2024-07-11,5,strong_up,103.391,98.0177,114.1377,98.0177,stop,-5.197
TCELL,2024-07-29,5,strong_up,98.7296,93.4557,109.2774,93.4557,stop,-5.342
TCELL,2024-08-06,5,strong_up,96.7718,91.0574,108.2006,91.0574,stop,-5.905
TCELL,2024-11-08,7,strong_up,85.7707,81.416,94.4803,84.4189,timeout,-1.576
TCELL,2024-11-11,5,strong_up,88.8473,84.2842,97.9736,84.2842,stop,-5.136
TCELL,2024-11-29,5,strong_up,83.9528,80.0838,91.6908,91.6908,target,9.217
TCELL,2024-12-09,6,strong_up,90.2779,86.59,97.6539,89.5569,timeout,-0.799
TCELL,2024-12-10,6,strong_up,90.4702,86.8551,97.7004,89.2204,timeout,-1.382
TCELL,2024-12-11,6,strong_up,89.5569,85.9991,96.6724,92.345,timeout,3.113
TCELL,2024-12-12,6,strong_up,89.7972,86.2927,96.8062,94.7005,timeout,5.46
TCELL,2024-12-17,6,strong_up,92.0566,88.56,99.0497,88.56,stop,-3.798
TCELL,2024-12-20,5,strong_up,88.3551,84.6031,95.8591,95.8591,target,8.493
TCELL,2025-01-06,6,strong_up,94.0275,90.1496,101.7833,90.1496,stop,-4.124
TCELL,2025-01-13,5,strong_up,91.3355,87.1227,99.7612,99.7612,target,9.225
TCELL,2025-02-03,6,strong_up,101.7189,97.6416,109.8735,99.6999,timeout,-1.985
TCELL,2025-02-05,6,strong_up,102.3919,98.1986,110.7785,98.1986,stop,-4.095
TCELL,2025-02-21,5,strong_up,102.1035,97.7435,110.8234,97.7435,stop,-4.27
TCELL,2025-03-05,5,strong_up,101.4305,96.811,110.6695,96.811,stop,-4.554
TCELL,2025-05-12,7,strong_up,92.9699,88.195,102.5199,88.195,stop,-5.136
TCELL,2025-06-10,5,up,93.4026,88.9701,102.2676,88.9701,stop,-4.746
TCELL,2025-06-30,6,up,95.2122,90.3357,104.9652,90.3357,stop,-5.122
THYAO,2024-06-03,6,strong_up,305.2763,293.5223,328.7844,293.5223,stop,-3.85
THYAO,2024-06-14,5,strong_up,307.9627,296.8808,330.1267,296.8808,stop,-3.598
THYAO,2024-07-18,7,strong_up,308.6954,299.1899,327.7064,299.1899,stop,-3.079
THYAO,2024-08-28,6,strong_up,295.019,282.7845,319.488,282.7845,stop,-4.147
THYAO,2024-09-19,7,strong_up,293.7979,282.8852,315.6233,282.8852,stop,-3.714
THYAO,2024-11-07,5,up,275.4813,265.8478,294.7483,265.8478,stop,-3.497
THYAO,2024-11-25,6,up,289.1577,277.3666,312.74,277.3666,stop,-4.078
THYAO,2024-12-06,5,up,296.7286,286.4251,317.3356,286.4251,stop,-3.472
THYAO,2024-12-17,5,up,290.1346,280.3138,309.7763,280.3138,stop,-3.385
THYAO,2025-01-03,5,up,292.5768,282.8029,312.1246,282.8029,stop,-3.341
THYAO,2025-01-15,5,up,292.0884,283.0767,310.1118,310.1118,target,6.171
THYAO,2025-02-03,5,up,307.4743,298.5782,325.2665,298.5782,stop,-2.893
THYAO,2025-02-06,5,strong_up,306.2532,295.7499,327.2597,308.4512,timeout,0.718
THYAO,2025-02-10,6,strong_up,312.1145,301.5143,333.3149,301.5143,stop,-3.396
THYAO,2025-02-21,6,strong_up,305.2763,293.9166,327.9957,327.9957,target,7.442
THYAO,2025-03-06,5,strong_up,327.012,314.8949,351.2462,314.8949,stop,-3.705
THYAO,2025-04-15,7,strong_up,312.603,299.7291,338.3507,299.7291,stop,-4.118
THYAO,2025-07-02,5,up,291.9914,279.0004,317.9734,279.0004,stop,-4.449
TKFEN,2024-06-03,5,strong_up,52.9999,49.9744,59.0508,49.9744,stop,-5.708
TKFEN,2024-06-07,5,strong_up,49.6457,46.6617,55.6136,55.6136,target,12.021
TKFEN,2024-06-20,5,strong_up,56.2346,52.9517,62.8005,52.9517,stop,-5.838
TKFEN,2024-06-27,7,strong_up,53.9952,50.7247,60.5361,50.7247,stop,-6.057
TKFEN,2024-07-02,5,strong_up,52.2534,48.7937,59.1727,59.1727,target,13.242
TKFEN,2024-07-10,6,strong_up,58.1257,54.5977,65.1817,54.5977,stop,-6.07
TKFEN,2024-08-02,5,strong_up,52.8506,49.3644,59.8229,49.3644,stop,-6.596
TKFEN,2024-08-22,6,strong_up,54.7914,51.3263,61.7217,51.3263,stop,-6.324
TKFEN,2024-09-04,6,strong_up,55.5877,52.2991,62.1647,52.2991,stop,-5.916
TKFEN,2024-09-16,7,strong_up,54.4431,50.7345,61.8603,50.7345,stop,-6.812
TKFEN,2024-10-10,7,strong_up,58.5238,54.7842,66.003,66.003,target,12.78
TKFEN,2024-10-14,5,strong_up,64.0477,59.6419,72.8595,72.8595,target,13.758
TKFEN,2024-11-01,5,strong_up,75.643,70.8827,85.1636,70.8827,stop,-6.293
TKFEN,2024-11-07,5,strong_up,71.7116,66.7672,81.6003,81.6003,target,13.79
TKFEN,2024-11-25,6,strong_up,77.2355,72.3423,87.0219,76.3895,timeout,-1.095
TKFEN,2024-11-26,5,strong_up,77.2355,72.4785,86.7494,74.4984,timeout,-3.544
TKFEN,2024-11-27,5,strong_up,77.3848,72.7383,86.6777,74.7472,timeout,-3.408
TKFEN,2024-11-28,5,strong_up,77.6336,73.0258,86.8493,73.0258,stop,-5.935
TKFEN,2025-02-14,6,strong_up,68.0787,64.1818,75.8725,75.8725,target,11.448
TKFEN,2025-03-10,5,strong_up,77.5839,73.5506,85.6503,85.6503,target,10.397
TKFEN,2025-03-12,5,strong_up,85.8946,81.2112,95.2615,95.2615,target,10.905
TKFEN,2025-03-14,5,strong_up,98.9829,93.6528,109.6431,109.6431,target,10.77
TKFEN,2025-03-18,5,strong_up,106.1988,99.5677,119.4611,119.4611,target,12.488
TKFEN,2025-03-21,5,strong_up,131.9772,123.4721,148.9873,123.4721,stop,-6.444
TKFEN,2025-03-25,5,strong_up,132.3753,122.5815,151.9629,151.9629,target,14.797
TKFEN,2025-03-28,5,strong_up,154.2719,142.9507,176.9145,142.9507,stop,-7.339
TKFEN,2025-04-03,6,strong_up,127.2992,113.4258,155.0461,133.271,timeout,4.691
TKFEN,2025-04-04,5,strong_up,127.2992,113.0838,155.7302,134.6645,timeout,5.786
TKFEN,2025-04-09,5,strong_up,137.3518,121.291,169.4735,138.2476,timeout,0.652
TKFEN,2025-04-10,5,strong_up,133.1715,117.2341,165.0463,139.3424,timeout,4.634
TKFEN,2025-04-11,5,strong_up,134.2663,118.2837,166.2317,131.4795,timeout,-2.076
TKFEN,2025-04-15,5,strong_up,133.1715,116.9767,165.5612,116.9767,stop,-12.161
TKFEN,2025-05-08,5,strong_up,116.9481,103.5199,143.8045,110.4786,timeout,-5.532
TKFEN,2025-05-09,6,strong_up,126.4035,112.4841,154.2422,112.4841,stop,-11.012
TKFEN,2025-06-20,7,strong_up,127.3988,116.3121,149.5721,116.3121,stop,-8.702
TOASO,2024-06-03,6,strong_up,265.5443,251.5888,293.4554,293.4554,target,10.511
TOASO,2024-06-24,5,strong_up,301.5466,286.0529,332.5342,286.0529,stop,-5.138
TOASO,2024-06-27,5,strong_up,299.1465,283.2091,331.0213,283.2091,stop,-5.328
TOASO,2024-07-08,5,strong_up,281.4726,264.923,314.5718,264.923,stop,-5.88
TOASO,2024-11-21,5,up,176.3022,167.5297,193.8473,176.3895,timeout,0.05
TOASO,2024-11-22,5,up,182.5863,173.7577,200.2434,173.7577,stop,-4.835
TOASO,2024-12-04,5,up,185.4665,176.3833,203.6327,176.3833,stop,-4.897
TOASO,2024-12-26,5,up,177.786,169.4194,194.5192,179.9679,timeout,1.227
TOASO,2024-12-27,5,up,178.9206,170.5438,195.6742,170.5438,stop,-4.682
TOASO,2025-01-30,5,up,189.4813,180.5651,207.3137,180.5651,stop,-4.706
TOASO,2025-04-21,5,up,184.9554,172.5162,209.8339,209.8339,target,13.451
TOASO,2025-05-15,5,up,199.2691,186.326,225.1554,186.326,stop,-6.495
TOASO,2025-06-11,5,up,175.413,164.8853,196.4683,164.8853,stop,-6.002
TOASO,2025-06-30,7,strong_up,182.7102,172.8983,202.3338,196.8367,timeout,7.732
TOASO,2025-07-01,5,strong_up,196.4625,186.249,216.8897,199.6433,timeout,1.619
TOASO,2025-07-02,5,strong_up,194.7786,184.5227,215.2902,208.4374,timeout,7.012
TOASO,2025-07-03,5,strong_up,199.4562,189.091,220.1868,205.2566,timeout,2.908
TOASO,2025-07-07,6,strong_up,194.7786,184.8123,214.7111,200.2047,timeout,2.786
TUPRS,2024-08-19,6,strong_up,134.1167,128.8074,144.7353,128.8074,stop,-3.959
TUPRS,2024-09-17,6,strong_up,133.8732,129.0097,143.6,134.2039,timeout,0.247
TUPRS,2024-09-18,6,strong_up,134.8473,130.1573,144.2274,133.5927,timeout,-0.93
TUPRS,2024-09-19,6,strong_up,137.4453,132.6727,146.9903,132.6727,stop,-3.472
